,scan2,scan4,scan6,scan8
P190_02_1,0.039490357241839906,0.03563527085736151,0.043027067545934244,0.03339189721543188
P190_02_2,0,0.04552818841910746,0,0.036332924067774816
P190_02_3,0.034343922817289166,0.03378672198117123,0.03250025770595479,0.04730575990228423
P190_02_4,0.037733981919836596,0.0325562735589051,0.03205896589062614,0.03607190423821099
P190_02_5,0.04314953077865401,0.03265731556539706,0.033770655942687494,0.036002177018833306
P190_02_1,0.02815653370853603,0.02705073247133387,0.03460506116468204,0.02327175722202434
P190_02_2,0,0.03670305096392002,0,0.025387534883368253
P190_02_3,0.0223285511896454,0.025436679586697725,0.023100949163546096,0.03685598562581427
P190_02_4,0.025709844686729506,0.02289267900933131,0.023354703697283413,0.025290832254721934
P190_02_5,0.031312414271811695,0.02456271937109896,0.026516999399705744,0.026138744409317887
P190_02_1,0.024204436698242175,0.016858792252078383,0.016439756456204324,0.01968281464819517
P190_02_2,0,0.017986826762479494,0,0.020270860769520956
P190_02_3,0.024321437730149886,0.017301570893633676,0.017290519072415994,0.01978146570854397
P190_02_4,0.024535081641643634,0.017734686626558645,0.01737328445877718,0.020247379090942867
P190_02_5,0.02353659212407018,0.01563654927492926,0.015603421185791853,0.019181228521483178
P190_02_1,0.05168862494293815,0.04390952472341225,0.05091006551878631,0.042911689921094905
P190_02_2,0,0.05483945632733489,0,0.04543948786920107
P190_02_3,0.046020150890926856,0.042596724338052186,0.040251180048761964,0.05642243540274362
P190_02_4,0.049368673412600136,0.040410206207809635,0.04065750830024405,0.04536290936219342
P190_02_5,0.053931400465118906,0.04013425180912623,0.04218489753254632,0.04515208471617102
P190_02_1,0.00059459961851116,0.45496082600437887,0.1347093766649732,0.8202491680944204
P190_02_2,0,0.14084972119491837,0,0.8132085657031668
P190_02_3,0.03673771414974528,0.301388563303931,0.5320647030012245,0.751577162291585
P190_02_4,0.03460673055877214,0.058838235504555116,0.16390643156939172,0.996063333910042
P190_02_5,0.18392469353498173,0.24707192737743303,0.1708800584121474,0.8026733329378273
P190_02_1,1.3966101694915254,1.3573883161512015,1.3658536585365866,1.3566176470588227
P190_02_2,0,1.3772241992882577,0,1.3589743589743593
P190_02_3,1.3958333333333335,1.3531468531468527,1.362369337979094,1.3680297397769516
P190_02_4,1.4006968641114987,1.3541666666666685,1.3645833333333333,1.3503649635036508
P190_02_5,1.3885135135135132,1.3533568904593645,1.36842105263158,1.354243542435424
P190_02_1,0,0,0,0
P190_02_2,0,0,0,0
P190_02_3,0,0,0,0
P190_02_4,0,0,0,0
P190_02_5,0,0,0,0
P190_02_1,0.00697940511662179,0.005213906658197355,0.005039209710835155,0.005930054870081167
P190_02_2,0,0.005376080369103452,0,0.0059910107459333044
P190_02_3,0.006938031710830739,0.005272408311455603,0.005088287144691003,0.005952507534322424
P190_02_4,0.006830116572925049,0.005217695574381926,0.005094407891088316,0.005938839571361723
P190_02_5,0.006749673749463351,0.0048837127583845515,0.004819051615517014,0.005815281625590814
