,scan2,scan4,scan6,scan8
P190_03_1,0.029635561830434115,0.027561676504455936,0.0321318788007555,0.029729957242413552
P190_03_2,0.032421866234538466,0.027748665090088366,0.02941152933084028,0.029689996940620293
P190_03_3,0.028931145851525265,0.03057636213871114,0.0317769907317025,0.029367008970004087
P190_03_4,0.04554192140338996,0.03611824745507153,0.03323103465220495,0.028852394327959743
P190_03_5,0.040934955342567504,0.028068697286870316,0.031427770572988865,0.02688786926512394
P190_03_1,0.02397209124941846,0.02344322735715171,0.02725328194635711,0.026064539272675692
P190_03_2,0.02612673483959588,0.02293146154521009,0.024291788581948016,0.025489346324167144
P190_03_3,0.023062374736425216,0.026310318149281482,0.02712832763939509,0.02538466440509155
P190_03_4,0.039452529398981,0.031565553249667755,0.028739868951242996,0.025202476511290536
P190_03_5,0.035260122385049206,0.023916543022849946,0.02722454758193381,0.022812216704879713
P190_03_1,0.013639245718777351,0.009122586283276023,0.009849678957221393,0.007802410181196373
P190_03_2,0.014836093449702527,0.009680726354611147,0.010483278676303207,0.008628363428390247
P190_03_3,0.014521016530504693,0.008935345868407385,0.009786659141699815,0.008123982912421578
P190_03_4,0.014498552391449898,0.009127171636670733,0.009318568406274,0.008767959000937194
P190_03_5,0.014047537321069892,0.00810564085990579,0.008428568208378825,0.00787819438191538
P190_03_1,0.03647194051994414,0.03234439164326084,0.03696423303094158,0.033738338297039164
P190_03_2,0.03977185748484981,0.03251954937011204,0.03462878895114002,0.0340495910939122
P190_03_3,0.0364096370439099,0.03503342302318989,0.036670320302552406,0.033440378553543204
P190_03_4,0.05273320338954911,0.04064915843461213,0.037842284997577656,0.03270621816790656
P190_03_5,0.048129279091989614,0.03182351621462079,0.035409771301356814,0.030543351458332674
P190_03_1,0.5844799374980364,1.2268240705773998,1.3541483632607716,1.4195699455022053
P190_03_2,1.0033316262210685,1.3502540024898928,1.351688059007573,1.3608040969678143
P190_03_3,1.0281634362822398,1.2821256115627537,1.542165190187046,1.0875498034832571
P190_03_4,3.248183605510102,1.2183737568648456,1.3564732696779995,1.2822625413082018
P190_03_5,1.1960381040094106,1.2036992426065847,1.361468516732994,1.5757254587299891
P190_03_1,1.4401709401709395,1.3613445378151274,1.3413654618473918,1.3588516746411465
P190_03_2,1.4274509803921565,1.3551020408163266,1.3490196078431373,1.3451327433628308
P190_03_3,1.4046692607003888,1.3293172690763033,1.3513513513513506,1.3476190476190482
P190_03_4,1.3754152823920265,1.3453815261044193,1.3539823008849536,1.050746268656715
P190_03_5,1.4258555133079842,1.3706896551724135,1.3623853211009174,1.3590909090909082
P190_03_1,0,0,0,0
P190_03_2,0,0,0,0
P190_03_3,0,0,0,0
P190_03_4,0,0,0,0
P190_03_5,0,0,0,0
P190_03_1,0.0035932902830790683,0.002840877879042715,0.0030848960403276646,0.0024330523694589302
P190_03_2,0.003747352837530603,0.002948368018394329,0.003167572220355636,0.0026054870340984993
P190_03_3,0.003643705559563522,0.0027440839443566073,0.0029747066292024464,0.002457834736352612
P190_03_4,0.0037229501943836086,0.002812612635544569,0.0028771754732455374,0.0023641766868400843
P190_03_5,0.003654389639622121,0.0025523922067488404,0.00263222087333943,0.0024636073631566645
