,scan2,scan4,scan6,scan8
P180_04_1,0.038002432356577534,0.03706152631269313,0.035512991328259934,0.03386968975191905
P180_04_2,0.034225729639575146,0.03630634483191049,0.0371712356024773,0.03324949762552486
P180_04_3,0.035586589126891416,0.03206909017588712,0.03474041682875477,0.03180371869733943
P180_04_4,0.03610444658353127,0.0320783286606018,0.032568884111154724,0.03620225538229379
P180_04_5,0.039686811016877765,0.0356116561846144,0,0.04059197790134649
P180_04_1,0.026576250557207547,0.027443898258820265,0.02558814773598109,0.02444175027715488
P180_04_2,0.023273392065950603,0.026958769331082374,0.0276265595775114,0.02401103309346522
P180_04_3,0.023604526471039167,0.02381420652052448,0.023809204007893634,0.02201754370314721
P180_04_4,0.025078187045322605,0.023751658946525655,0.023180519952182017,0.02666253945536607
P180_04_5,0.02950136043684716,0.02808690624517796,0,0.03204114598652199
P180_04_1,0.026452393480733263,0.01978935813554089,0.02080881072498799,0.0193602543123758
P180_04_2,0.02463059027668453,0.01888514237362427,0.019680964200239598,0.01859005311961389
P180_04_3,0.024866540072396304,0.01927456087950704,0.02071846150930657,0.020454365760393174
P180_04_4,0.02398447053396672,0.017992847164764535,0.018738718746451596,0.018382298766887642
P180_04_5,0.022444045968386034,0.01685407791864723,0,0.01699905384667111
P180_04_1,0.05235037753843482,0.04663957565029492,0.04577144310851454,0.04329762922668322
P180_04_2,0.0471738265043935,0.04508394621683445,0.046715911627443193,0.04203546593560606
P180_04_3,0.04801985916308957,0.042693796890205554,0.044103975097786983,0.04213590345515611
P180_04_4,0.04821448376865789,0.0411652595224849,0.04131108555473255,0.04442108756549305
P180_04_5,0.05140458602045281,0.044430254529926785,0,0.04886918319489661
P180_04_1,0.148876149730191,0.5604438135908706,0.7133935477158881,0.8029028087084281
P180_04_2,0.22850985949784064,0.5086820494322212,0.736428730559247,0.6587296115265034
P180_04_3,0.44424176849474745,0.8052165922640171,0.834988021593896,0.8693469432657862
P180_04_4,0.37621225218460286,0.7263433261488096,0.5853876691480189,0.8686177578992567
P180_04_5,0.3088000908910954,0.5507518710721504,0,1.6956860694789464
P180_04_1,1.2950310559006215,1.2996845425867505,1.306709265175718,1.302547770700637
P180_04_2,1.291925465838509,1.2965299684542588,1.310897435897435,1.3129032258064521
P180_04_3,1.3333333333333335,1.3377483443708624,1.3433333333333324,1.347826086956522
P180_04_4,1.3009404388714734,1.3025477707006359,1.319218241042345,1.317307692307693
P180_04_5,1.2959501557632396,1.3006329113924044,0,1.3130990415335466
P180_04_1,0.030525908528689763,0,0,0
P180_04_2,0,0,0,0
P180_04_3,0,0,0,0
P180_04_4,0,0,0,0
P180_04_5,0,0,0,0
P180_04_1,0.008320919353901245,0.006198032412951275,0.0065441386396377695,0.006175618713915454
P180_04_2,0.007608070190966966,0.005806882464050276,0.006131912967369954,0.005873637132561675
P180_04_3,0.007946652537834987,0.006186260791800504,0.0066941927690789904,0.0066622560371189035
P180_04_4,0.0075564675189804765,0.005612739867639849,0.005981906655341964,0.005812807368293761
P180_04_5,0.0071634352609286816,0.005299367743306951,0,0.005549218523797109
